"","tree","Date","Freq","cluster"
"1","Acinetobacter1775.png","2010",1,"cluster1"
"2","Acinetobacter1775.png","2011",1,"cluster1"
"3","Acinetobacter1775.png","2012",1,"cluster1"
"4","Acinetobacter1775.png","2013",1,"cluster1"
"5","Acinetobacter1775.png","2014",10,"cluster1"
"6","Acinetobacter1775.png","2015",16,"cluster1"
"7","Acinetobacter1775.png","2016",23,"cluster1"
"8","Acinetobacter1775.png","2017",31,"cluster1"
"9","Acinetobacter1775.png","2018",11,"cluster1"
"10","Acinetobacter1907.png","2012",3,"cluster1"
"11","Acinetobacter1907.png","2013",6,"cluster1"
"12","Acinetobacter1907.png","2014",31,"cluster1"
"13","Acinetobacter1907.png","2015",9,"cluster1"
"14","Acinetobacter1907.png","2016",8,"cluster1"
"15","Acinetobacter1907.png","2017",13,"cluster1"
"16","Acinetobacter1907.png","2018",20,"cluster1"
"17","Acinetobacter1907.png","2019",6,"cluster1"
"18","Acinetobacter2956.png","2012",2,"cluster1"
"19","Acinetobacter2956.png","2013",2,"cluster1"
"20","Acinetobacter2956.png","2014",10,"cluster1"
"21","Acinetobacter2956.png","2015",3,"cluster1"
"22","Acinetobacter2956.png","2016",7,"cluster1"
"23","Acinetobacter2956.png","2017",1,"cluster1"
"24","Acinetobacter2956.png","2018",15,"cluster1"
"25","Acinetobacter2956.png","2019",3,"cluster1"
"26","Acinetobacter3055.png","2012",4,"cluster1"
"27","Acinetobacter3055.png","2013",3,"cluster1"
"28","Acinetobacter3055.png","2014",10,"cluster1"
"29","Acinetobacter3055.png","2015",34,"cluster1"
"30","Acinetobacter3055.png","2016",12,"cluster1"
"31","Acinetobacter3055.png","2017",17,"cluster1"
"32","Acinetobacter3055.png","2018",17,"cluster1"
"33","Acinetobacter3055.png","2019",2,"cluster1"
"34","Campylobacter10043.png","2015",9,"cluster1"
"35","Campylobacter10043.png","2016",30,"cluster1"
"36","Campylobacter10043.png","2017",19,"cluster1"
"37","Campylobacter10043.png","2018",9,"cluster1"
"38","Campylobacter10043.png","2019",4,"cluster1"
"39","Campylobacter11611.png","2010",1,"cluster1"
"40","Campylobacter11611.png","2012",3,"cluster1"
"41","Campylobacter11611.png","2015",5,"cluster1"
"42","Campylobacter11611.png","2016",12,"cluster1"
"43","Campylobacter11611.png","2017",22,"cluster1"
"44","Campylobacter11611.png","2018",47,"cluster1"
"45","Campylobacter11611.png","2019",7,"cluster1"
"46","Campylobacter12421.png","2012",1,"cluster1"
"47","Campylobacter12421.png","2015",2,"cluster1"
"48","Campylobacter12421.png","2016",17,"cluster1"
"49","Campylobacter12421.png","2017",18,"cluster1"
"50","Campylobacter12421.png","2018",16,"cluster1"
"51","Campylobacter12421.png","2019",3,"cluster1"
"52","Campylobacter12507.png","2015",3,"cluster1"
"53","Campylobacter12507.png","2016",13,"cluster1"
"54","Campylobacter12507.png","2017",7,"cluster1"
"55","Campylobacter12507.png","2018",14,"cluster1"
"56","Campylobacter12507.png","2019",3,"cluster1"
"57","Campylobacter12685.png","2015",3,"cluster1"
"58","Campylobacter12685.png","2016",10,"cluster1"
"59","Campylobacter12685.png","2017",9,"cluster1"
"60","Campylobacter12685.png","2018",13,"cluster1"
"61","Campylobacter13909.png","2015",6,"cluster1"
"62","Campylobacter13909.png","2016",21,"cluster1"
"63","Campylobacter13909.png","2017",25,"cluster1"
"64","Campylobacter13909.png","2018",27,"cluster1"
"65","Campylobacter13909.png","2019",1,"cluster1"
"66","Campylobacter16354.png","2010",1,"cluster1"
"67","Campylobacter16354.png","2015",3,"cluster1"
"68","Campylobacter16354.png","2016",16,"cluster1"
"69","Campylobacter16354.png","2017",26,"cluster1"
"70","Campylobacter16354.png","2018",26,"cluster1"
"71","Campylobacter16354.png","2019",4,"cluster1"
"72","Campylobacter16665.png","2014",2,"cluster1"
"73","Campylobacter16665.png","2015",8,"cluster1"
"74","Campylobacter16665.png","2016",8,"cluster1"
"75","Campylobacter16665.png","2017",4,"cluster1"
"76","Campylobacter16665.png","2018",10,"cluster1"
"77","Campylobacter16665.png","2019",4,"cluster1"
"78","Campylobacter18135.png","2015",5,"cluster1"
"79","Campylobacter18135.png","2016",20,"cluster1"
"80","Campylobacter18135.png","2017",21,"cluster1"
"81","Campylobacter18135.png","2018",42,"cluster1"
"82","Campylobacter18135.png","2019",3,"cluster1"
"83","Campylobacter18304.png","2015",2,"cluster1"
"84","Campylobacter18304.png","2016",6,"cluster1"
"85","Campylobacter18304.png","2017",19,"cluster1"
"86","Campylobacter18304.png","2018",21,"cluster1"
"87","Campylobacter18304.png","2019",3,"cluster1"
"88","Cronobacter365.png","2013",2,"cluster1"
"89","Cronobacter365.png","2015",2,"cluster1"
"90","Cronobacter365.png","2016",3,"cluster1"
"91","Cronobacter365.png","2018",29,"cluster1"
"92","Enterobacter1765.png","2014",2,"cluster1"
"93","Enterobacter1765.png","2015",8,"cluster1"
"94","Enterobacter1765.png","2016",7,"cluster1"
"95","Enterobacter1765.png","2017",2,"cluster1"
"96","Enterobacter1765.png","2018",12,"cluster1"
"97","Enterobacter1765.png","2019",7,"cluster1"
"98","Enterobacter2749.png","2013",1,"cluster1"
"99","Enterobacter2749.png","2014",1,"cluster1"
"100","Enterobacter2749.png","2015",13,"cluster1"
"101","Enterobacter2749.png","2016",19,"cluster1"
"102","Enterobacter2749.png","2017",6,"cluster1"
"103","Enterobacter2749.png","2018",15,"cluster1"
"104","Enterobacter2749.png","2019",9,"cluster1"
"105","Escherichia_coli_Shigella36250.png","2013",3,"cluster1"
"106","Escherichia_coli_Shigella36250.png","2014",2,"cluster1"
"107","Escherichia_coli_Shigella36250.png","2015",3,"cluster1"
"108","Escherichia_coli_Shigella36250.png","2016",16,"cluster1"
"109","Escherichia_coli_Shigella36250.png","2017",12,"cluster1"
"110","Escherichia_coli_Shigella36250.png","2018",32,"cluster1"
"111","Escherichia_coli_Shigella36250.png","2019",10,"cluster1"
"112","Escherichia_coli_Shigella36565.png","2014",3,"cluster1"
"113","Escherichia_coli_Shigella36565.png","2015",2,"cluster1"
"114","Escherichia_coli_Shigella36565.png","2016",6,"cluster1"
"115","Escherichia_coli_Shigella36565.png","2017",17,"cluster1"
"116","Escherichia_coli_Shigella36565.png","2018",41,"cluster1"
"117","Escherichia_coli_Shigella36565.png","2019",31,"cluster1"
"118","Escherichia_coli_Shigella37077.png","2015",1,"cluster1"
"119","Escherichia_coli_Shigella37077.png","2016",7,"cluster1"
"120","Escherichia_coli_Shigella37077.png","2017",13,"cluster1"
"121","Escherichia_coli_Shigella37077.png","2018",16,"cluster1"
"122","Escherichia_coli_Shigella37077.png","2019",5,"cluster1"
"123","Escherichia_coli_Shigella37236.png","2013",1,"cluster1"
"124","Escherichia_coli_Shigella37236.png","2014",2,"cluster1"
"125","Escherichia_coli_Shigella37236.png","2016",7,"cluster1"
"126","Escherichia_coli_Shigella37236.png","2017",9,"cluster1"
"127","Escherichia_coli_Shigella37236.png","2018",15,"cluster1"
"128","Escherichia_coli_Shigella37236.png","2019",3,"cluster1"
"129","Escherichia_coli_Shigella38965.png","2013",1,"cluster1"
"130","Escherichia_coli_Shigella38965.png","2014",4,"cluster1"
"131","Escherichia_coli_Shigella38965.png","2015",2,"cluster1"
"132","Escherichia_coli_Shigella38965.png","2016",5,"cluster1"
"133","Escherichia_coli_Shigella38965.png","2017",14,"cluster1"
"134","Escherichia_coli_Shigella38965.png","2018",23,"cluster1"
"135","Escherichia_coli_Shigella39649.png","2013",3,"cluster1"
"136","Escherichia_coli_Shigella39649.png","2014",4,"cluster1"
"137","Escherichia_coli_Shigella39649.png","2015",3,"cluster1"
"138","Escherichia_coli_Shigella39649.png","2016",10,"cluster1"
"139","Escherichia_coli_Shigella39649.png","2017",12,"cluster1"
"140","Escherichia_coli_Shigella39649.png","2018",30,"cluster1"
"141","Escherichia_coli_Shigella39649.png","2019",5,"cluster1"
"142","Escherichia_coli_Shigella40741.png","2012",1,"cluster1"
"143","Escherichia_coli_Shigella40741.png","2014",1,"cluster1"
"144","Escherichia_coli_Shigella40741.png","2016",10,"cluster1"
"145","Escherichia_coli_Shigella40741.png","2017",20,"cluster1"
"146","Escherichia_coli_Shigella40741.png","2018",36,"cluster1"
"147","Escherichia_coli_Shigella40741.png","2019",8,"cluster1"
"148","Escherichia_coli_Shigella40820.png","2010",1,"cluster1"
"149","Escherichia_coli_Shigella40820.png","2013",2,"cluster1"
"150","Escherichia_coli_Shigella40820.png","2014",2,"cluster1"
"151","Escherichia_coli_Shigella40820.png","2015",2,"cluster1"
"152","Escherichia_coli_Shigella40820.png","2016",12,"cluster1"
"153","Escherichia_coli_Shigella40820.png","2017",28,"cluster1"
"154","Escherichia_coli_Shigella40820.png","2018",42,"cluster1"
"155","Escherichia_coli_Shigella40820.png","2019",7,"cluster1"
"156","Escherichia_coli_Shigella41612.png","2013",1,"cluster1"
"157","Escherichia_coli_Shigella41612.png","2014",5,"cluster1"
"158","Escherichia_coli_Shigella41612.png","2016",11,"cluster1"
"159","Escherichia_coli_Shigella41612.png","2017",10,"cluster1"
"160","Escherichia_coli_Shigella41612.png","2018",25,"cluster1"
"161","Escherichia_coli_Shigella41612.png","2019",10,"cluster1"
"162","Escherichia_coli_Shigella41968.png","2014",3,"cluster1"
"163","Escherichia_coli_Shigella41968.png","2015",3,"cluster1"
"164","Escherichia_coli_Shigella41968.png","2016",3,"cluster1"
"165","Escherichia_coli_Shigella41968.png","2017",13,"cluster1"
"166","Escherichia_coli_Shigella41968.png","2018",25,"cluster1"
"167","Escherichia_coli_Shigella42063.png","2014",2,"cluster1"
"168","Escherichia_coli_Shigella42063.png","2015",1,"cluster1"
"169","Escherichia_coli_Shigella42063.png","2016",11,"cluster1"
"170","Escherichia_coli_Shigella42063.png","2017",10,"cluster1"
"171","Escherichia_coli_Shigella42063.png","2018",14,"cluster1"
"172","Escherichia_coli_Shigella42063.png","2019",1,"cluster1"
"173","Escherichia_coli_Shigella42510.png","2013",5,"cluster1"
"174","Escherichia_coli_Shigella42510.png","2014",2,"cluster1"
"175","Escherichia_coli_Shigella42510.png","2015",2,"cluster1"
"176","Escherichia_coli_Shigella42510.png","2016",5,"cluster1"
"177","Escherichia_coli_Shigella42510.png","2017",10,"cluster1"
"178","Escherichia_coli_Shigella42510.png","2018",17,"cluster1"
"179","Escherichia_coli_Shigella42510.png","2019",4,"cluster1"
"180","Escherichia_coli_Shigella42636.png","2010",2,"cluster1"
"181","Escherichia_coli_Shigella42636.png","2012",1,"cluster1"
"182","Escherichia_coli_Shigella42636.png","2013",19,"cluster1"
"183","Escherichia_coli_Shigella42636.png","2014",7,"cluster1"
"184","Escherichia_coli_Shigella42636.png","2015",1,"cluster1"
"185","Escherichia_coli_Shigella42636.png","2016",19,"cluster1"
"186","Escherichia_coli_Shigella42636.png","2017",6,"cluster1"
"187","Escherichia_coli_Shigella42636.png","2018",15,"cluster1"
"188","Escherichia_coli_Shigella42636.png","2019",12,"cluster1"
"189","Escherichia_coli_Shigella43182.png","2015",1,"cluster1"
"190","Escherichia_coli_Shigella43182.png","2016",3,"cluster1"
"191","Escherichia_coli_Shigella43182.png","2017",11,"cluster1"
"192","Escherichia_coli_Shigella43182.png","2018",25,"cluster1"
"193","Escherichia_coli_Shigella43182.png","2019",2,"cluster1"
"194","Escherichia_coli_Shigella44885.png","2012",1,"cluster1"
"195","Escherichia_coli_Shigella44885.png","2014",1,"cluster1"
"196","Escherichia_coli_Shigella44885.png","2015",22,"cluster1"
"197","Escherichia_coli_Shigella44885.png","2016",16,"cluster1"
"198","Escherichia_coli_Shigella44885.png","2017",6,"cluster1"
"199","Escherichia_coli_Shigella44885.png","2018",15,"cluster1"
"200","Escherichia_coli_Shigella45075.png","2010",1,"cluster1"
"201","Escherichia_coli_Shigella45075.png","2012",2,"cluster1"
"202","Escherichia_coli_Shigella45075.png","2014",1,"cluster1"
"203","Escherichia_coli_Shigella45075.png","2015",4,"cluster1"
"204","Escherichia_coli_Shigella45075.png","2016",21,"cluster1"
"205","Escherichia_coli_Shigella45075.png","2017",16,"cluster1"
"206","Escherichia_coli_Shigella45075.png","2018",23,"cluster1"
"207","Escherichia_coli_Shigella45075.png","2019",3,"cluster1"
"208","Escherichia_coli_Shigella45738.png","2013",1,"cluster1"
"209","Escherichia_coli_Shigella45738.png","2015",5,"cluster1"
"210","Escherichia_coli_Shigella45738.png","2016",14,"cluster1"
"211","Escherichia_coli_Shigella45738.png","2017",8,"cluster1"
"212","Escherichia_coli_Shigella45738.png","2018",15,"cluster1"
"213","Escherichia_coli_Shigella45738.png","2019",2,"cluster1"
"214","Escherichia_coli_Shigella46925.png","2015",9,"cluster1"
"215","Escherichia_coli_Shigella46925.png","2016",7,"cluster1"
"216","Escherichia_coli_Shigella46925.png","2017",18,"cluster1"
"217","Escherichia_coli_Shigella46925.png","2018",6,"cluster1"
"218","Escherichia_coli_Shigella47098.png","2015",42,"cluster1"
"219","Escherichia_coli_Shigella47098.png","2016",8,"cluster1"
"220","Escherichia_coli_Shigella47098.png","2017",27,"cluster1"
"221","Escherichia_coli_Shigella47098.png","2018",7,"cluster1"
"222","Escherichia_coli_Shigella47452.png","2015",17,"cluster1"
"223","Escherichia_coli_Shigella47452.png","2016",14,"cluster1"
"224","Escherichia_coli_Shigella47452.png","2017",16,"cluster1"
"225","Escherichia_coli_Shigella47452.png","2018",48,"cluster1"
"226","Escherichia_coli_Shigella48330.png","2016",12,"cluster1"
"227","Escherichia_coli_Shigella48330.png","2017",2,"cluster1"
"228","Escherichia_coli_Shigella48330.png","2018",44,"cluster1"
"229","Escherichia_coli_Shigella48525.png","2014",1,"cluster1"
"230","Escherichia_coli_Shigella48525.png","2016",1,"cluster1"
"231","Escherichia_coli_Shigella48525.png","2017",6,"cluster1"
"232","Escherichia_coli_Shigella48525.png","2018",71,"cluster1"
"233","Escherichia_coli_Shigella48525.png","2019",2,"cluster1"
"234","Escherichia_coli_Shigella48704.png","2016",31,"cluster1"
"235","Escherichia_coli_Shigella48704.png","2017",2,"cluster1"
"236","Escherichia_coli_Shigella48704.png","2018",34,"cluster1"
"237","Escherichia_coli_Shigella48704.png","2019",3,"cluster1"
"238","Escherichia_coli_Shigella49146.png","2013",1,"cluster1"
"239","Escherichia_coli_Shigella49146.png","2014",1,"cluster1"
"240","Escherichia_coli_Shigella49146.png","2015",1,"cluster1"
"241","Escherichia_coli_Shigella49146.png","2016",2,"cluster1"
"242","Escherichia_coli_Shigella49146.png","2017",9,"cluster1"
"243","Escherichia_coli_Shigella49146.png","2018",38,"cluster1"
"244","Escherichia_coli_Shigella51397.png","2013",3,"cluster1"
"245","Escherichia_coli_Shigella51397.png","2014",1,"cluster1"
"246","Escherichia_coli_Shigella51397.png","2015",1,"cluster1"
