"","tree","Location","Freq","cluster"
"1","Acinetobacter1775.png","Brazil",1,"cluster1"
"2","Acinetobacter1775.png","China",2,"cluster1"
"3","Acinetobacter1775.png","Germany",22,"cluster1"
"4","Acinetobacter1775.png","Honduras",1,"cluster1"
"5","Acinetobacter1775.png","Japan",2,"cluster1"
"6","Acinetobacter1775.png","NULL",41,"cluster1"
"7","Acinetobacter1775.png","Portugal",1,"cluster1"
"8","Acinetobacter1775.png","South Korea",1,"cluster1"
"9","Acinetobacter1775.png","USA",24,"cluster1"
"10","Acinetobacter1907.png","Bolivia",2,"cluster1"
"11","Acinetobacter1907.png","Brazil",1,"cluster1"
"12","Acinetobacter1907.png","China",9,"cluster1"
"13","Acinetobacter1907.png","Colombia",1,"cluster1"
"14","Acinetobacter1907.png","Cote d'Ivoire",1,"cluster1"
"15","Acinetobacter1907.png","Czech Republic",1,"cluster1"
"16","Acinetobacter1907.png","Denmark",1,"cluster1"
"17","Acinetobacter1907.png","France",1,"cluster1"
"18","Acinetobacter1907.png","Japan",4,"cluster1"
"19","Acinetobacter1907.png","Malaysia",1,"cluster1"
"20","Acinetobacter1907.png","Netherlands",1,"cluster1"
"21","Acinetobacter1907.png","NULL",41,"cluster1"
"22","Acinetobacter1907.png","South Korea",1,"cluster1"
"23","Acinetobacter1907.png","Taiwan",1,"cluster1"
"24","Acinetobacter1907.png","Thailand",8,"cluster1"
"25","Acinetobacter1907.png","USA",22,"cluster1"
"26","Acinetobacter2956.png","China",15,"cluster1"
"27","Acinetobacter2956.png","Hong Kong",1,"cluster1"
"28","Acinetobacter2956.png","India",1,"cluster1"
"29","Acinetobacter2956.png","Iraq",1,"cluster1"
"30","Acinetobacter2956.png","Japan",1,"cluster1"
"31","Acinetobacter2956.png","Mexico",1,"cluster1"
"32","Acinetobacter2956.png","Nepal",2,"cluster1"
"33","Acinetobacter2956.png","NULL",5,"cluster1"
"34","Acinetobacter2956.png","Singapore",5,"cluster1"
"35","Acinetobacter2956.png","Taiwan",8,"cluster1"
"36","Acinetobacter2956.png","Thailand",1,"cluster1"
"37","Acinetobacter2956.png","United Kingdom",1,"cluster1"
"38","Acinetobacter2956.png","Vietnam",1,"cluster1"
"39","Acinetobacter3055.png","Canada",1,"cluster1"
"40","Acinetobacter3055.png","China",10,"cluster1"
"41","Acinetobacter3055.png","France",2,"cluster1"
"42","Acinetobacter3055.png","Hong Kong",1,"cluster1"
"43","Acinetobacter3055.png","Lebanon",1,"cluster1"
"44","Acinetobacter3055.png","NULL",17,"cluster1"
"45","Acinetobacter3055.png","Puerto Rico",1,"cluster1"
"46","Acinetobacter3055.png","South Korea",2,"cluster1"
"47","Acinetobacter3055.png","Spain",5,"cluster1"
"48","Acinetobacter3055.png","Taiwan",2,"cluster1"
"49","Acinetobacter3055.png","USA",57,"cluster1"
"50","Campylobacter10043.png","Canada",1,"cluster1"
"51","Campylobacter10043.png","NULL",1,"cluster1"
"52","Campylobacter10043.png","USA",69,"cluster1"
"53","Campylobacter11611.png","NULL",1,"cluster1"
"54","Campylobacter11611.png","Poland",1,"cluster1"
"55","Campylobacter11611.png","Slovenia",1,"cluster1"
"56","Campylobacter11611.png","Spain",1,"cluster1"
"57","Campylobacter11611.png","Switzerland",1,"cluster1"
"58","Campylobacter11611.png","United Kingdom",4,"cluster1"
"59","Campylobacter11611.png","USA",88,"cluster1"
"60","Campylobacter12421.png","NULL",1,"cluster1"
"61","Campylobacter12421.png","United Kingdom",2,"cluster1"
"62","Campylobacter12421.png","USA",54,"cluster1"
"63","Campylobacter12507.png","NULL",1,"cluster1"
"64","Campylobacter12507.png","USA",39,"cluster1"
"65","Campylobacter12685.png","USA",35,"cluster1"
"66","Campylobacter13909.png","USA",80,"cluster1"
"67","Campylobacter16354.png","Canada",2,"cluster1"
"68","Campylobacter16354.png","NULL",1,"cluster1"
"69","Campylobacter16354.png","USA",73,"cluster1"
"70","Campylobacter16665.png","Brazil",2,"cluster1"
"71","Campylobacter16665.png","NULL",6,"cluster1"
"72","Campylobacter16665.png","Thailand",1,"cluster1"
"73","Campylobacter16665.png","United Kingdom",5,"cluster1"
"74","Campylobacter16665.png","USA",21,"cluster1"
"75","Campylobacter16665.png","Vietnam",1,"cluster1"
"76","Campylobacter18135.png","Brazil",4,"cluster1"
"77","Campylobacter18135.png","USA",87,"cluster1"
"78","Campylobacter18304.png","NULL",1,"cluster1"
"79","Campylobacter18304.png","USA",50,"cluster1"
"80","Cronobacter365.png","China",26,"cluster1"
"81","Cronobacter365.png","Ireland",1,"cluster1"
"82","Cronobacter365.png","NULL",1,"cluster1"
"83","Cronobacter365.png","Switzerland",1,"cluster1"
"84","Cronobacter365.png","USA",6,"cluster1"
"85","Cronobacter365.png","Zimbabwe",1,"cluster1"
"86","Enterobacter1765.png","China",7,"cluster1"
"87","Enterobacter1765.png","India",2,"cluster1"
"88","Enterobacter1765.png","NULL",9,"cluster1"
"89","Enterobacter1765.png","Tanzania",1,"cluster1"
"90","Enterobacter1765.png","United Kingdom",3,"cluster1"
"91","Enterobacter1765.png","USA",16,"cluster1"
"92","Enterobacter2749.png","China",8,"cluster1"
"93","Enterobacter2749.png","France",2,"cluster1"
"94","Enterobacter2749.png","NULL",14,"cluster1"
"95","Enterobacter2749.png","Pakistan",1,"cluster1"
"96","Enterobacter2749.png","Romania",1,"cluster1"
"97","Enterobacter2749.png","Spain",1,"cluster1"
"98","Enterobacter2749.png","Thailand",1,"cluster1"
"99","Enterobacter2749.png","United Kingdom",9,"cluster1"
"100","Enterobacter2749.png","USA",23,"cluster1"
"101","Enterobacter2749.png","Vietnam",4,"cluster1"
"102","Escherichia_coli_Shigella36250.png","Argentina",1,"cluster1"
"103","Escherichia_coli_Shigella36250.png","Australia",1,"cluster1"
"104","Escherichia_coli_Shigella36250.png","Denmark",1,"cluster1"
"105","Escherichia_coli_Shigella36250.png","Ecuador",1,"cluster1"
"106","Escherichia_coli_Shigella36250.png","France",7,"cluster1"
"107","Escherichia_coli_Shigella36250.png","Morocco",1,"cluster1"
"108","Escherichia_coli_Shigella36250.png","Netherlands",10,"cluster1"
"109","Escherichia_coli_Shigella36250.png","New Zealand",1,"cluster1"
"110","Escherichia_coli_Shigella36250.png","NULL",11,"cluster1"
"111","Escherichia_coli_Shigella36250.png","Singapore",2,"cluster1"
"112","Escherichia_coli_Shigella36250.png","Sri Lanka",1,"cluster1"
"113","Escherichia_coli_Shigella36250.png","Thailand",1,"cluster1"
"114","Escherichia_coli_Shigella36250.png","Turkey",1,"cluster1"
"115","Escherichia_coli_Shigella36250.png","United Kingdom",13,"cluster1"
"116","Escherichia_coli_Shigella36250.png","USA",26,"cluster1"
"117","Escherichia_coli_Shigella36565.png","Argentina",1,"cluster1"
"118","Escherichia_coli_Shigella36565.png","Australia",3,"cluster1"
"119","Escherichia_coli_Shigella36565.png","France",3,"cluster1"
"120","Escherichia_coli_Shigella36565.png","Germany",6,"cluster1"
"121","Escherichia_coli_Shigella36565.png","India",1,"cluster1"
"122","Escherichia_coli_Shigella36565.png","Italy",3,"cluster1"
"123","Escherichia_coli_Shigella36565.png","Lebanon",4,"cluster1"
"124","Escherichia_coli_Shigella36565.png","Mexico",1,"cluster1"
"125","Escherichia_coli_Shigella36565.png","Netherlands",10,"cluster1"
"126","Escherichia_coli_Shigella36565.png","Norway",1,"cluster1"
"127","Escherichia_coli_Shigella36565.png","NULL",21,"cluster1"
"128","Escherichia_coli_Shigella36565.png","Russia",1,"cluster1"
"129","Escherichia_coli_Shigella36565.png","Saudi Arabia",5,"cluster1"
"130","Escherichia_coli_Shigella36565.png","Singapore",8,"cluster1"
"131","Escherichia_coli_Shigella36565.png","South Africa",1,"cluster1"
"132","Escherichia_coli_Shigella36565.png","Spain",1,"cluster1"
"133","Escherichia_coli_Shigella36565.png","Thailand",2,"cluster1"
"134","Escherichia_coli_Shigella36565.png","Togo",1,"cluster1"
"135","Escherichia_coli_Shigella36565.png","Turkey",2,"cluster1"
"136","Escherichia_coli_Shigella36565.png","United Kingdom",4,"cluster1"
"137","Escherichia_coli_Shigella36565.png","USA",21,"cluster1"
"138","Escherichia_coli_Shigella37077.png","Australia",1,"cluster1"
"139","Escherichia_coli_Shigella37077.png","Canada",1,"cluster1"
"140","Escherichia_coli_Shigella37077.png","China",1,"cluster1"
"141","Escherichia_coli_Shigella37077.png","Germany",2,"cluster1"
"142","Escherichia_coli_Shigella37077.png","Netherlands",2,"cluster1"
"143","Escherichia_coli_Shigella37077.png","NULL",17,"cluster1"
"144","Escherichia_coli_Shigella37077.png","Singapore",1,"cluster1"
"145","Escherichia_coli_Shigella37077.png","South Africa",1,"cluster1"
"146","Escherichia_coli_Shigella37077.png","Spain",1,"cluster1"
"147","Escherichia_coli_Shigella37077.png","Tanzania",3,"cluster1"
