"","tree","Location","Freq","cluster"
"1","Acinetobacter1775.png","East Asia & Pacific",5,"cluster1"
"2","Acinetobacter1775.png","Europe & Central Asia",23,"cluster1"
"3","Acinetobacter1775.png","Latin America & Caribbean",2,"cluster1"
"4","Acinetobacter1775.png","North America",24,"cluster1"
"5","Acinetobacter1907.png","East Asia & Pacific",24,"cluster1"
"6","Acinetobacter1907.png","Europe & Central Asia",4,"cluster1"
"7","Acinetobacter1907.png","Latin America & Caribbean",4,"cluster1"
"8","Acinetobacter1907.png","North America",22,"cluster1"
"9","Acinetobacter1907.png","Sub-Saharan Africa",1,"cluster1"
"10","Acinetobacter2956.png","East Asia & Pacific",32,"cluster1"
"11","Acinetobacter2956.png","Europe & Central Asia",1,"cluster1"
"12","Acinetobacter2956.png","Latin America & Caribbean",1,"cluster1"
"13","Acinetobacter2956.png","Middle East & North Africa",1,"cluster1"
"14","Acinetobacter2956.png","South Asia",3,"cluster1"
"15","Acinetobacter3055.png","East Asia & Pacific",15,"cluster1"
"16","Acinetobacter3055.png","Europe & Central Asia",7,"cluster1"
"17","Acinetobacter3055.png","Latin America & Caribbean",1,"cluster1"
"18","Acinetobacter3055.png","Middle East & North Africa",1,"cluster1"
"19","Acinetobacter3055.png","North America",58,"cluster1"
"20","Campylobacter10043.png","North America",70,"cluster1"
"21","Campylobacter11611.png","Europe & Central Asia",8,"cluster1"
"22","Campylobacter11611.png","North America",88,"cluster1"
"23","Campylobacter12421.png","Europe & Central Asia",2,"cluster1"
"24","Campylobacter12421.png","North America",54,"cluster1"
"25","Campylobacter12507.png","North America",39,"cluster1"
"26","Campylobacter12685.png","North America",35,"cluster1"
"27","Campylobacter13909.png","North America",80,"cluster1"
"28","Campylobacter16354.png","North America",75,"cluster1"
"29","Campylobacter16665.png","East Asia & Pacific",2,"cluster1"
"30","Campylobacter16665.png","Europe & Central Asia",5,"cluster1"
"31","Campylobacter16665.png","Latin America & Caribbean",2,"cluster1"
"32","Campylobacter16665.png","North America",21,"cluster1"
"33","Campylobacter18135.png","Latin America & Caribbean",4,"cluster1"
"34","Campylobacter18135.png","North America",87,"cluster1"
"35","Campylobacter18304.png","North America",50,"cluster1"
"36","Cronobacter365.png","East Asia & Pacific",26,"cluster1"
"37","Cronobacter365.png","Europe & Central Asia",2,"cluster1"
"38","Cronobacter365.png","North America",6,"cluster1"
"39","Cronobacter365.png","Sub-Saharan Africa",1,"cluster1"
"40","Enterobacter1765.png","East Asia & Pacific",7,"cluster1"
"41","Enterobacter1765.png","Europe & Central Asia",3,"cluster1"
"42","Enterobacter1765.png","North America",16,"cluster1"
"43","Enterobacter1765.png","South Asia",2,"cluster1"
"44","Enterobacter1765.png","Sub-Saharan Africa",1,"cluster1"
"45","Enterobacter2749.png","East Asia & Pacific",13,"cluster1"
"46","Enterobacter2749.png","Europe & Central Asia",13,"cluster1"
"47","Enterobacter2749.png","North America",23,"cluster1"
"48","Enterobacter2749.png","South Asia",1,"cluster1"
"49","Escherichia_coli_Shigella36250.png","East Asia & Pacific",5,"cluster1"
"50","Escherichia_coli_Shigella36250.png","Europe & Central Asia",32,"cluster1"
"51","Escherichia_coli_Shigella36250.png","Latin America & Caribbean",2,"cluster1"
"52","Escherichia_coli_Shigella36250.png","Middle East & North Africa",1,"cluster1"
"53","Escherichia_coli_Shigella36250.png","North America",26,"cluster1"
"54","Escherichia_coli_Shigella36250.png","South Asia",1,"cluster1"
"55","Escherichia_coli_Shigella36565.png","East Asia & Pacific",13,"cluster1"
"56","Escherichia_coli_Shigella36565.png","Europe & Central Asia",31,"cluster1"
"57","Escherichia_coli_Shigella36565.png","Latin America & Caribbean",2,"cluster1"
"58","Escherichia_coli_Shigella36565.png","Middle East & North Africa",9,"cluster1"
"59","Escherichia_coli_Shigella36565.png","North America",21,"cluster1"
"60","Escherichia_coli_Shigella36565.png","South Asia",1,"cluster1"
"61","Escherichia_coli_Shigella36565.png","Sub-Saharan Africa",2,"cluster1"
"62","Escherichia_coli_Shigella37077.png","East Asia & Pacific",3,"cluster1"
"63","Escherichia_coli_Shigella37077.png","Europe & Central Asia",11,"cluster1"
"64","Escherichia_coli_Shigella37077.png","North America",7,"cluster1"
"65","Escherichia_coli_Shigella37077.png","Sub-Saharan Africa",4,"cluster1"
"66","Escherichia_coli_Shigella37236.png","East Asia & Pacific",2,"cluster1"
"67","Escherichia_coli_Shigella37236.png","Europe & Central Asia",8,"cluster1"
"68","Escherichia_coli_Shigella37236.png","North America",11,"cluster1"
"69","Escherichia_coli_Shigella38965.png","Europe & Central Asia",5,"cluster1"
"70","Escherichia_coli_Shigella38965.png","North America",38,"cluster1"
