C1,C2,stat,p_value,cutoff,significant
1,3,sackin,1.4498484995121101e-46,7.716049382716049e-5,TRUE
2,3,B2,1.898620546207535e-44,7.716049382716049e-5,TRUE
1,3,maxHeight,2.1579951743841807e-44,7.716049382716049e-5,TRUE
1,3,colless,2.7560820358584225e-43,7.716049382716049e-5,TRUE
2,3,colless,4.887237389805756e-38,7.716049382716049e-5,TRUE
1,3,skewness,6.721781762268706e-33,7.716049382716049e-5,TRUE
3,4,B2,7.949739637872991e-33,7.716049382716049e-5,TRUE
2,3,sackin,1.1804428813361924e-29,7.716049382716049e-5,TRUE
2,3,skewness,2.111540572938873e-28,7.716049382716049e-5,TRUE
2,3,maxHeight,5.794818755038197e-28,7.716049382716049e-5,TRUE
1,3,stairs2,3.211867785530434e-26,7.716049382716049e-5,TRUE
3,4,colless,2.8655672979576096e-24,7.716049382716049e-5,TRUE
1,3,B1,4.420553768069766e-24,7.716049382716049e-5,TRUE
1,3,B2,1.6257182549932772e-22,7.716049382716049e-5,TRUE
1,3,I2,1.9270868954466544e-22,7.716049382716049e-5,TRUE
3,6,B2,5.802585865148512e-22,7.716049382716049e-5,TRUE
3,7,B2,6.1470940056586245e-22,7.716049382716049e-5,TRUE
0,2,B2,7.0298659567693655e-22,7.716049382716049e-5,TRUE
1,3,kurtosis,9.223398592867586e-22,7.716049382716049e-5,TRUE
0,4,B2,3.1418744476529746e-21,7.716049382716049e-5,TRUE
3,6,colless,9.641508644720099e-21,7.716049382716049e-5,TRUE
1,7,maxHeight,1.19247878120834e-20,7.716049382716049e-5,TRUE
1,7,sackin,2.9171306344712003e-20,7.716049382716049e-5,TRUE
3,4,skewness,6.536403541909001e-19,7.716049382716049e-5,TRUE
2,3,maxWidth,1.484475294775686e-18,7.716049382716049e-5,TRUE
1,3,ILnumber,3.9839382641762644e-18,7.716049382716049e-5,TRUE
1,3,treeSize,5.453180817447264e-18,7.716049382716049e-5,TRUE
2,3,kurtosis,5.755310711894456e-18,7.716049382716049e-5,TRUE
1,7,treeSize,1.4084677572652874e-16,7.716049382716049e-5,TRUE
1,3,cherries,2.47977955619014e-16,7.716049382716049e-5,TRUE
0,1,colless,5.290433704635642e-16,7.716049382716049e-5,TRUE
0,1,sackin,1.5049748366041812e-15,7.716049382716049e-5,TRUE
1,3,closeness,1.5436589232592716e-15,7.716049382716049e-5,TRUE
3,4,sackin,4.577732967619429e-15,7.716049382716049e-5,TRUE
3,4,maxWidth,7.305656115896908e-15,7.716049382716049e-5,TRUE
0,6,B2,8.714751994147149e-15,7.716049382716049e-5,TRUE
3,4,kurtosis,1.2926414398752022e-14,7.716049382716049e-5,TRUE
0,3,skewness,1.5620198527450027e-14,7.716049382716049e-5,TRUE
1,4,treeSize,1.8797216682864242e-14,7.716049382716049e-5,TRUE
3,6,sackin,3.1804614195656743e-14,7.716049382716049e-5,TRUE
3,6,skewness,3.903736155469684e-14,7.716049382716049e-5,TRUE
1,3,stairs1,1.016624758198076e-13,7.716049382716049e-5,TRUE
0,1,maxHeight,1.2836270204643018e-13,7.716049382716049e-5,TRUE
1,2,treeSize,7.040584413515933e-13,7.716049382716049e-5,TRUE
2,3,stairs2,1.0130188343920831e-12,7.716049382716049e-5,TRUE
0,7,B2,1.1158842256034534e-12,7.716049382716049e-5,TRUE
3,4,maxHeight,1.2970638091290957e-12,7.716049382716049e-5,TRUE
1,3,maxWidth,1.3233974496037168e-12,7.716049382716049e-5,TRUE
0,2,colless,1.6979183354612974e-12,7.716049382716049e-5,TRUE
1,7,ILnumber,1.9903918826798326e-12,7.716049382716049e-5,TRUE
3,6,maxHeight,3.294657694054633e-12,7.716049382716049e-5,TRUE
3,7,colless,2.055331194773202e-11,7.716049382716049e-5,TRUE
0,3,kurtosis,3.8372068335299655e-11,7.716049382716049e-5,TRUE
1,7,cherries,7.08913414964814e-11,7.716049382716049e-5,TRUE
1,7,colless,9.263935649010718e-11,7.716049382716049e-5,TRUE
0,1,B2,9.58121286100867e-11,7.716049382716049e-5,TRUE
3,6,kurtosis,1.2367609963959364e-10,7.716049382716049e-5,TRUE
0,1,stairs2,2.594213506442562e-10,7.716049382716049e-5,TRUE
0,1,I2,3.6930630975926215e-10,7.716049382716049e-5,TRUE
1,7,I2,6.982454815821772e-10,7.716049382716049e-5,TRUE
1,7,B1,8.002484913952887e-10,7.716049382716049e-5,TRUE
3,8,sackin,2.449852929145855e-9,7.716049382716049e-5,TRUE
1,3,pitchforks,2.6515892895376953e-9,7.716049382716049e-5,TRUE
2,7,sackin,2.7002520679384496e-9,7.716049382716049e-5,TRUE
3,4,DelW,2.770200044594063e-9,7.716049382716049e-5,TRUE
0,1,B1,2.8430165138324183e-9,7.716049382716049e-5,TRUE
2,3,I2,3.075294210351874e-9,7.716049382716049e-5,TRUE
1,7,skewness,3.4802819980898875e-9,7.716049382716049e-5,TRUE
2,7,maxHeight,3.5132379238705406e-9,7.716049382716049e-5,TRUE
1,2,ILnumber,4.9642728620051385e-9,7.716049382716049e-5,TRUE
1,7,stairs1,7.005565999370439e-9,7.716049382716049e-5,TRUE
2,3,DelW,9.603836913842615e-9,7.716049382716049e-5,TRUE
1,2,sackin,1.0015519889299952e-8,7.716049382716049e-5,TRUE
0,1,ILnumber,1.1624748421512052e-8,7.716049382716049e-5,TRUE
1,7,stairs2,1.6488161409159047e-8,7.716049382716049e-5,TRUE
2,3,B1,1.8614255162492083e-8,7.716049382716049e-5,TRUE
3,8,colless,1.884701780805259e-8,7.716049382716049e-5,TRUE
1,2,maxHeight,3.006798537560741e-8,7.716049382716049e-5,TRUE
1,2,cherries,5.0818359738305056e-8,7.716049382716049e-5,TRUE
0,1,cherries,6.202589991456631e-8,7.716049382716049e-5,TRUE
1,4,sackin,6.229726109910882e-8,7.716049382716049e-5,TRUE
3,4,stairs2,7.807660172931416e-8,7.716049382716049e-5,TRUE
0,4,colless,8.534026793659768e-8,7.716049382716049e-5,TRUE
0,4,maxWidth,1.1314441065246036e-7,7.716049382716049e-5,TRUE
1,7,closeness,1.2027750304251723e-7,7.716049382716049e-5,TRUE
3,7,maxWidth,1.2787129140560654e-7,7.716049382716049e-5,TRUE
2,7,colless,1.3222238435050466e-7,7.716049382716049e-5,TRUE
2,7,skewness,2.108688875873678e-7,7.716049382716049e-5,TRUE
1,4,maxHeight,2.64341629088827e-7,7.716049382716049e-5,TRUE
0,2,maxWidth,2.9519739100006947e-7,7.716049382716049e-5,TRUE
3,6,maxWidth,3.251952459457411e-7,7.716049382716049e-5,TRUE
3,8,maxHeight,5.230830559432305e-7,7.716049382716049e-5,TRUE
1,2,B1,5.381723743037846e-7,7.716049382716049e-5,TRUE
1,4,B2,6.222641205368017e-7,7.716049382716049e-5,TRUE
1,3,betweenness,7.025808865497832e-7,7.716049382716049e-5,TRUE
0,6,colless,7.037787759922984e-7,7.716049382716049e-5,TRUE
0,3,colless,7.947723505264006e-7,7.716049382716049e-5,TRUE
0,2,sackin,9.480194734035987e-7,7.716049382716049e-5,TRUE
0,3,maxHeight,1.0927832057350775e-6,7.716049382716049e-5,TRUE
1,4,ILnumber,1.1137623335781287e-6,7.716049382716049e-5,TRUE
0,1,treeSize,1.1388358274395718e-6,7.716049382716049e-5,TRUE
3,7,maxHeight,1.4304972311350572e-6,7.716049382716049e-5,TRUE
7,8,sackin,1.997479749620315e-6,7.716049382716049e-5,TRUE
3,6,stairs2,2.0450639555118022e-06,7.716049382716049e-5,TRUE
0,3,sackin,2.1910659124098954e-6,7.716049382716049e-5,TRUE
0,1,stairs1,2.7045187956297912e-6,7.716049382716049e-5,TRUE
1,7,kurtosis,2.826771613341035e-6,7.716049382716049e-5,TRUE
3,7,sackin,3.646907552344273e-6,7.716049382716049e-5,TRUE
0,8,sackin,4.275818246163723e-6,7.716049382716049e-5,TRUE
1,6,treeSize,4.494068725413745e-6,7.716049382716049e-5,TRUE
1,4,cherries,6.251132903825067e-6,7.716049382716049e-5,TRUE
1,2,closeness,6.803919541255179e-6,7.716049382716049e-5,TRUE
1,2,stairs1,7.287377788099365e-6,7.716049382716049e-5,TRUE
1,2,B2,8.186865019305314e-6,7.716049382716049e-5,TRUE
1,6,ILnumber,8.545715852912258e-6,7.716049382716049e-5,TRUE
3,5,colless,9.428856444191877e-6,7.716049382716049e-5,TRUE
3,4,closeness,1.0562452360686668e-5,7.716049382716049e-5,TRUE
0,2,maxHeight,1.3109670972272832e-5,7.716049382716049e-5,TRUE
4,7,skewness,1.4036651120292444e-5,7.716049382716049e-5,TRUE
4,5,B2,1.671131767083798e-5,7.716049382716049e-5,TRUE
0,8,colless,2.225334951058275e-5,7.716049382716049e-5,TRUE
1,6,maxHeight,2.7576951984913363e-5,7.716049382716049e-5,TRUE
1,6,cherries,3.0060123556634572e-5,7.716049382716049e-5,TRUE
1,2,I2,3.6008352579752054e-5,7.716049382716049e-5,TRUE
2,3,pitchforks,4.154069987076139e-5,7.716049382716049e-5,TRUE
3,4,I2,4.630119522191941e-5,7.716049382716049e-5,TRUE
3,5,B2,4.736015554872366e-5,7.716049382716049e-5,TRUE
3,5,sackin,4.9451504710833055e-5,7.716049382716049e-5,TRUE
1,6,sackin,5.102956369838008e-5,7.716049382716049e-5,TRUE
3,4,betweenness,5.8162751861067346e-5,7.716049382716049e-5,TRUE
1,5,sackin,6.183759329809687e-5,7.716049382716049e-5,TRUE
2,3,closeness,6.223553022439017e-5,7.716049382716049e-5,TRUE
0,4,DelW,6.466387759530766e-5,7.716049382716049e-5,TRUE
1,4,B1,6.478389859258166e-5,7.716049382716049e-5,TRUE
3,5,skewness,7.385859415868926e-5,7.716049382716049e-5,TRUE
3,4,B1,8.259918970220934e-5,7.716049382716049e-5,FALSE
3,6,I2,8.444001994627934e-5,7.716049382716049e-5,FALSE
6,7,skewness,8.513772067505405e-5,7.716049382716049e-5,FALSE
1,5,ILnumber,9.458232827865652e-5,7.716049382716049e-5,FALSE
