C1,C2,stat,p_value,cutoff,significant
2,3,B2,2.0246163236268606e-47,7.716049382716049e-5,TRUE
1,3,maxWidth,3.267406558795311e-43,7.716049382716049e-5,TRUE
1,3,B2,6.309420363723931e-38,7.716049382716049e-5,TRUE
1,3,skewness,6.721781762268706e-33,7.716049382716049e-5,TRUE
1,3,B1,1.2455217959089917e-31,7.716049382716049e-5,TRUE
1,3,cherries,1.718600721114506e-30,7.716049382716049e-5,TRUE
1,7,cherries,3.645718469911534e-29,7.716049382716049e-5,TRUE
3,4,B2,5.481609775029719e-29,7.716049382716049e-5,TRUE
2,3,skewness,2.111540572938873e-28,7.716049382716049e-5,TRUE
1,3,pitchforks,1.5251291492043233e-27,7.716049382716049e-5,TRUE
1,7,B1,1.6124862800634823e-27,7.716049382716049e-5,TRUE
1,3,stairs2,3.211867785530434e-26,7.716049382716049e-5,TRUE
1,3,DelW,2.6384601294879172e-24,7.716049382716049e-5,TRUE
2,3,maxWidth,1.238435071625302e-22,7.716049382716049e-5,TRUE
3,6,B2,2.849393714762245e-22,7.716049382716049e-5,TRUE
1,3,kurtosis,9.223398592867586e-22,7.716049382716049e-5,TRUE
1,7,pitchforks,4.6398465212938506e-21,7.716049382716049e-5,TRUE
1,2,cherries,6.22990755396186e-21,7.716049382716049e-5,TRUE
1,7,maxWidth,1.1261537080870347e-20,7.716049382716049e-5,TRUE
0,2,B2,4.2827430936869365e-20,7.716049382716049e-5,TRUE
1,2,B1,1.0476550963743565e-19,7.716049382716049e-5,TRUE
3,7,B2,1.2528501389554733e-19,7.716049382716049e-5,TRUE
1,4,cherries,5.420502955854872e-19,7.716049382716049e-5,TRUE
3,4,skewness,6.536403541909001e-19,7.716049382716049e-5,TRUE
1,3,betweenness,1.4878783112315593e-18,7.716049382716049e-5,TRUE
1,4,B1,2.194051216814336e-18,7.716049382716049e-5,TRUE
1,3,treeSize,5.453180817447264e-18,7.716049382716049e-5,TRUE
2,3,kurtosis,5.755310711894456e-18,7.716049382716049e-5,TRUE
0,1,B2,1.6294262819778627e-17,7.716049382716049e-5,TRUE
1,7,treeSize,1.4084677572652874e-16,7.716049382716049e-5,TRUE
1,7,betweenness,1.6975741930797236e-16,7.716049382716049e-5,TRUE
0,4,B2,5.074400869817958e-16,7.716049382716049e-5,TRUE
0,1,maxWidth,2.180524147891764e-15,7.716049382716049e-5,TRUE
3,4,maxHeight,3.3857497205433377e-15,7.716049382716049e-5,TRUE
1,4,betweenness,6.841678057767917e-15,7.716049382716049e-5,TRUE
2,3,maxHeight,8.406076561706212e-15,7.716049382716049e-5,TRUE
1,4,pitchforks,1.2631606579960188e-14,7.716049382716049e-5,TRUE
3,4,kurtosis,1.2926414398752022e-14,7.716049382716049e-5,TRUE
3,4,colless,1.4976819555770738e-14,7.716049382716049e-5,TRUE
0,3,skewness,1.5620198527450027e-14,7.716049382716049e-5,TRUE
1,4,treeSize,1.8797216682864242e-14,7.716049382716049e-5,TRUE
3,6,skewness,3.903736155469684e-14,7.716049382716049e-5,TRUE
1,2,pitchforks,5.4578712201340613e-14,7.716049382716049e-5,TRUE
1,7,DelW,6.907786211657398e-14,7.716049382716049e-5,TRUE
1,3,stairs1,1.016624758198076e-13,7.716049382716049e-5,TRUE
1,4,sackin,1.9405276580036635e-13,7.716049382716049e-5,TRUE
0,6,B2,3.193987304050239e-13,7.716049382716049e-5,TRUE
1,2,betweenness,4.0801453318992305e-13,7.716049382716049e-5,TRUE
1,2,treeSize,7.040584413515933e-13,7.716049382716049e-5,TRUE
2,3,stairs2,1.0130188343920831e-12,7.716049382716049e-5,TRUE
2,3,DelW,1.4991540225543275e-12,7.716049382716049e-5,TRUE
0,1,cherries,7.636458483472905e-12,7.716049382716049e-5,TRUE
1,3,maxHeight,8.020479060763824e-12,7.716049382716049e-5,TRUE
0,1,B1,2.0849099045112703e-11,7.716049382716049e-5,TRUE
0,3,kurtosis,3.8372068335299655e-11,7.716049382716049e-5,TRUE
3,6,kurtosis,1.2367609963959364e-10,7.716049382716049e-5,TRUE
